,group_id,category_id,category.name,category.shortname,city,country,link,group_name,events
9612,19907716,23,outdoors/adventure,outdoors-adventure,New York,US,https://www.meetup.com/NYCeWheels/,NYCeWheels Events,[]
9613,19907842,25,parents/family,parents-family,Chicago,US,https://www.meetup.com/Chicago-Single-Parents-Park-Play-Dates/,Chicago Single Parents - Park Play Dates,[]
9614,19908097,34,tech,tech,San Francisco,US,https://www.meetup.com/SF-Tech-Startup-Recruitment-Join-Wahl-Case/,[Wahl & Case] Startup Tech And Talent,[]
9615,19909155,14,health/wellbeing,health-wellbeing,Chicago,US,https://www.meetup.com/Chicago-Women-Supporting-Women-in-Relationships-Meetup/,Chicago Women Supporting Women in Relationships Meetup,[]
9616,19909257,22,new age/spirituality,new-age-spirituality,Chicago,US,https://www.meetup.com/Soul-Gym-Exercising-Non-Religious-Spirituality-Chicago/,"Soul Gym, Exercising Non-Religious Spirituality, Chicago",[]
9617,19909747,2,career/business,career-business,New York,US,https://www.meetup.com/globalstartupecosystemny/,Global Startup Ecosystem New York,[]
9618,19909753,8,fashion/beauty,fashion-beauty,San Francisco,US,https://www.meetup.com/San-Francisco-Fashion-Style-Events-Meetup/,San Francisco #TrendySquad Fashion+Style MeetUp,[]
9619,19911393,34,tech,tech,New York,US,https://www.meetup.com/StackUp-Talks-Devs/,StackUp Talks for Developers,[]
9620,19911967,34,tech,tech,San Francisco,US,https://www.meetup.com/Hackster-Hardware-Meetup-Boston/,Hackster Hardware Meetup - Boston,[]
9621,19912658,2,career/business,career-business,San Francisco,US,https://www.meetup.com/amazon-shopify-sf/,Marketing Crazy SF - Selling On Amazon / Shopify Ecommerce,[]
9622,19912729,6,education/learning,education-learning,San Francisco,US,https://www.meetup.com/VR-AR-in-Education/,VR & AR in Education and Healthcare,[]
9623,19912775,5,dancing,dancing,New York,US,https://www.meetup.com/SASSNYC/,"NYC: *SASSY* Dance Classes for Women (Hip-Hop, Heels, Jazz)",[]
9624,19912898,14,health/wellbeing,health-wellbeing,New York,US,https://www.meetup.com/A-Greener-Lifestyle-for-Disease-Prevention-Longevity/,A Greener Lifestyle for Disease-Prevention & Longevity,[]
9625,19912919,28,religion/beliefs,religion-beliefs,San Francisco,US,https://www.meetup.com/Unity-Spiritual-Center-of-San-Francisco/,Unity Spiritual Center of San Francisco,[]
9626,19913762,16,language/ethnic identity,language,Chicago,US,https://www.meetup.com/American-Dream-Networking/,American Dream Networking,[]
9627,19914930,34,tech,tech,San Francisco,US,https://www.meetup.com/DC-OS-Online-Meetup/,DC/OS Online Meetup,[]
9628,19914979,12,LGBT,lgbt,New York,US,https://www.meetup.com/authentic-eros-newyork/,AE - Explorations for Men (NY),[]
9629,19915109,14,health/wellbeing,health-wellbeing,San Francisco,US,https://www.meetup.com/Authentic-Eros-Sanfrancisco/,AE - Explorations for Men (SF),[]
9630,19915240,32,sports/recreation,sports-recreation,Chicago,US,https://www.meetup.com/Hooping-With-Will/,Hooping With Will,[]
9631,19915629,34,tech,tech,San Francisco,US,https://www.meetup.com/Crafting-Open-IT-Meetup-Series/,Red Hat Crafting Open IT Meetup Series,[]
9632,19915929,34,tech,tech,New York,US,https://www.meetup.com/DAANYC/,Digital Analytics Association - New York Chapter,[]
9633,19916202,17,alternative lifestyle,lifestyle,Chicago,US,https://www.meetup.com/The-Private-Poly-Play-Party/,The Private Poly Play Party!!!,[]
9634,19916292,2,career/business,career-business,New York,US,https://www.meetup.com/Keeping-Up-with-The-Drum/,Keeping up with the Marketing & Advertising Industry,[]
9635,19916362,2,career/business,career-business,New York,US,https://www.meetup.com/Apartment-Investor-Mastery-AIM-New-York-NY/,"Apartment Investor Mastery (AIM) New York, NY",[]
9636,19916755,14,health/wellbeing,health-wellbeing,Chicago,US,https://www.meetup.com/Room-to-Breathe-Mindful-Relaxation-in-the-Chicago-Loop/,Breathwork and Mindful Relaxation - Chicago Loop,[]
9637,19919067,23,outdoors/adventure,outdoors-adventure,San Francisco,US,https://www.meetup.com/Camp-Hygge-Community-Group/,Camp Hygge Community Group,[]
9638,19919795,2,career/business,career-business,San Francisco,US,https://www.meetup.com/San-Francisco-Creative-Innovation-Meetup/,San Francisco Creative Innovation Meetup,[]
9639,19919928,33,support,support,New York,US,https://www.meetup.com/Domestic-Violence-Awareness-Young-Starr-Movement-Meetup/,Domestic Violence Awareness Young Starr Movement Meetup,[]
9640,19920099,34,tech,tech,New York,US,https://www.meetup.com/Heron-NYC/,Heron NYC,[]
9641,19920397,14,health/wellbeing,health-wellbeing,New York,US,https://www.meetup.com/New-York-Womens-Menopause-Support-Meetup/,New York Women's Menopause Support Meetup,[]
9642,19920924,32,sports/recreation,sports-recreation,New York,US,https://www.meetup.com/Beyond-F-C-GOALKEEPERS-Group/,Beyond F.C. - GOALKEEPERS Group,[]
9643,19921185,14,health/wellbeing,health-wellbeing,New York,US,https://www.meetup.com/HEALTH-IS-YOUR-1ST-WEALTH-MEETUP-GROUP/,HEALTH IS YOUR 1ST WEALTH MEETUP GROUP,[]
9644,19921275,2,career/business,career-business,New York,US,https://www.meetup.com/Conneticut-Startupalooza/,Conneticut Startupalooza,[]
9645,19921437,2,career/business,career-business,New York,US,https://www.meetup.com/Closingdealsin6inchheelsnyc/,Closing Deals in 6 Inch Heels NYC,[]
9646,19922301,15,hobbies/crafts,hobbies-crafts,West Chicago,US,https://www.meetup.com/Its-Always-Fabulous-Making-Cards-and-Layouts/,It's Always Fabulous Making Cards and Layouts,[]
9647,19922987,6,education/learning,education-learning,New York,US,https://www.meetup.com/NYC-Personal-Development-Workshop-MBTI-Coaching-And-Speaking/,"Personal Development, Workshops, MBTI, Coaching an",[]
9648,19923299,34,tech,tech,New York,US,https://www.meetup.com/Humanitarian-Financing-Humanitarian-Crowdfunding/,Humanitarian Financing + Humanitarian Crowdfunding NYC,[]
